palabra;pinyin;significado
是 ; shi4 ; ser
哪 ; na3 ; ¿cuál? ¿qué?
国 ; guo2 ; país
人 ; re2n ; persona
我 ; wo3 ; yo
叫 ; jia4o ; llamarse
什么 ; she2n me0 ; ¿qué?
名字 ; mi2ng zi0 ; nombre
欢迎 ; hua1n yi2ng ; Bienvenido
谢谢 ; xie4 xie0 ; Gracias
西班牙 ; xi1 ba1n ya2 ; España
马丁 ; ma3 di1ng ; Martín
这 ; zhe4 ; este
谁 ; she2i  ; ¿quién?
爸爸 ; ba4 ba0 ; padre
那 ; na4 ; ese, aquel
妈妈 ; ma1 ma0 ; madre
他们 ; ta1 men0 ; ellos
身体 ; she1n ti3 ; salud
吗 ; ma0 ; interrogación
都 ; do1u ; todos
很 ; he3n ; muy
忙 ; ma2ng ; ocupado
李芳 ; li3 fa1ng ; Li Fang
玛利亚 ; ma3 li4 ya4 ; María
请 ; qi3ng ; solicitar
坐 ; zuo4 ; sentarse
的 ; de0 ; particula
房间 ; fa2ng jia1n ; habitación
真 ; zhe1n ; realmente, muy
漂亮 ; pia4o liang ; guapo
要 ; ya4o ; querer
咖啡 ; ka1 fe1i ; café
不 ; bu4 ; no
茶 ; cha2 ; té
王大伟 ; wa2ng da4 we3i ; Gran David
住 ; zhu4 ; vivir
哪儿 ; na3 er0 ; ¿donde?
楼 ; lo2u ; edificio
多少 ; duo1 shao0 ; ¿cúanto? 
号 ; ha4o ; número
电话 ; dia4n hua4 ; número de teléfono
号码 ; ha4o ma3 ; número
呢 ; ne0 ; ¿y el tuyo?
名片 ; mi2ng pia4n ; tarjeta de presentación
北京大学 ; bei3 ji1ng da4 xue2 ; Universidad de Pekín
请问 ; qi3ng w4en ; dígmae por favor
学校 ; xue2 xia4o ; Uninversidad
里边 ; li3 bian0 ; dentro de
有 ; yo3u ; haber
餐厅 ; ca1n ti1ng ; restaurante
在 ; za4i ; estar
那 儿 ; na4 er0 ; allí
没 ; me2i ; no
咖啡馆 ; ka1 fe1i gua3n ; cafetería
旁边 ; pa2ng bia1n ; al lado de 
银行 ; yi2n ha2ng ; banco
点儿 ; dia3n er ; Un poco de algo
苹果 ; pi2ng guo3 ; manzana
钱 ; qia2n ; dinero
斤 ; ji1n ; unidad de peso (500gr)
两 ; lia3ng ; dos
块 ; kua4i ; yuan
香蕉 ; xia1ng jia1o ; plátano
一共 ; yi2 go4ng ; En total
十二 ; shi2 er4 ; Número 12
服务员 ; fu2 wu4 yua2n ; camarero
先生 ; xia1n sheng0 ; caballero (Sr.)
吃 ; chi1 ; comer
饺子 ; jia3o zi0 ; empanadillas (dumpling)
半 ; ba4n ; mitad
还 ; ha2i ; aún, todavía más
别的 ; bie2 de ; otro (distinto)
来 ; la2i ; venirf
瓶 ; pi2ng ; botella
稍等 ; sha1o de3ng ; (espere) un momento
星期六 ; xi1ng qi1 liu4 ; sábado
想 ; xia3ng ; querer, desear
