palabra;pinyin;significado
运动 ; yu4n do4ng ; deporte
足球 ; zu2 qiu2 ; fútbol
踢 ; ti1 ; jugar, patear
可 ; ke3 ; sumamente
多 ; duo1 ; mucho
网球 ; wa3ng qiu2 ; tenis
游泳 ; yo2u yo3ng  ; nadar
滑冰 ; hua2 bi1ng ; patinar
以后 ; yi3 ho4u ; en adelante
会 ; hui4 ; saber
只 ; zhi3 ; sólo
游 ; yo2u ; nadar
愿意 ; yua4n yi4 ; querer
当 ; da1ng ; ser
教练 ; jia4o lia4n ; entrenador
排球 ; pa2i qiu2 ; voleibol
篮球 ; la2n qiu2 ; baloncesto
乒乓球 ; pi1ng pa1ng qui2 ; tenis de mesa
体操 ; ti3 ca1o ; gimnasia
流利 ; liu2 li4 ; fluido
整齐 ; zhe3ng qi2 ; ordenado
旅行 ; lv3 xi2ng ; viajar
见面 ; jia4n mia4n ; entrevistarse
健康 ; jia4n ka1ng ; sano
活动 ; huo2 do4ng ; actividad
以前 ; yi3 qia2n ; antes
过 ; guo0 ; alguna vez
听说 ; ti1ng shu1o ; haber oído decir
有名 ; yo3u mi2ng ; famoso
烤鸭 ; ka3o ya1 ; pato laqueado
店 ; dia4n ; restaurante
已经 ; yi3 ji1ng ; ya
历史 ; li4 shi3 ; historia
座位 ; zuo4 we4i ; asiento
提前 ; ti2 qia2n ; previamente
预订 ; yu4 di4ng  ; reservar
几 ; ji3 ; varios
今天 ; ji1n tia1n ; hoy
请客 ; qi3ng ke4 ; invitar
点菜 ; dia3n ca4i ; pedir de comer
要 ; ya4o ; querer
啤酒 ; pi2 jiu3 ; cerveza
杯 ; be1i ; vaso
矿泉水 ; kua4ng qua2n shui3 ; agua mineral
只  ; zhi1 ; clasif. Animales
瓶 ; pi2ng ; botella
全聚德 ; qua2n ju4 de2 ; Quanjude
松鼠鳜鱼 ; so1ng shu2 gui4 yu2 ; pescado-ardilla
西兰花 ; xi1 la2n hua1 ; brócoli
葡萄酒 ; pu2 ta2o jiu3 ; vino
白酒 ; ba2i jiu3 ; licor
青菜 ; qi1ng ca4i ; verduras, legumbres
荤菜 ; hu1n ca4i ; platos de carne
蔬菜 ; shu1 c4ai ; legumbres, hortalizas
杯子 ; be1i zi0 ; vaso
饱 ; ba3o ; lleno
鸡蛋 ; ji1 da4n ; huevo (de gallina)
酒 ; jiu4 ; bebidas alcohólicas
图书馆 ; tu2 shu1 gua3n ; biblioteca
找 ; zha3o ; buscar
报 ; ba3o ; periódico
招聘 ; zha1 pi4n ; solictar (trabajo)
广告 ; gua3ng ga3o ; anuncio
公司 ; go1ng si1 ; compañía
需要 ; xu1 ya4o ; necesitar
懂 ; do3ng ; entender
听 ; ti1ng ; escuchar
广播 ; gua3ng bo1 ; radiodifusión
简历 ; jia3n li4 ; curriculum vitae
准备 ; zhu3n be4i ; preparar
经理 ; ji1ng li3 ; genrente
先 ; xia1n ; antes que nada
